# X_0;X_1;R_0;S_0;G_0;I_0
18557;23720;143000;147780;-4780;0
15539;19493;143000;144477;-1477;0
13982;11599;143000;140998;2001;1
15403;22007;143000;145168;-2168;0
10395;14769;143000;139618;3381;1
17639;21813;143000;146582;-3582;0
18789;17570;143000;146023;-3023;0
13794;20410;143000;143611;-611;0
15461;20665;143000;144790;-1790;0
15508;19170;143000;144356;-1356;0
14705;21922;143000;144682;-1682;0
16138;18312;143000;144505;-1505;0
13934;17142;143000;142689;310;1
10643;13006;143000;139234;3765;1
16467;18529;143000;144790;-1790;0
17575;23076;143000;146933;-3933;0
16057;14399;143000;143236;-236;0
16900;18504;143000;145067;-2067;0
18812;22217;143000;147481;-4481;0
16632;24592;143000;146782;-3782;0
14914;20381;143000;144341;-1341;0
13765;10237;143000;140432;2567;1
17422;22823;143000;146753;-3753;0
19634;12865;143000;145118;-2118;0
13866;16020;143000;142295;704;1
