# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
192149234145.91;252716875.10;10835.39;1.02;1.03;141.67;6.02;102.27;6.94;134.87;925.58;103984.32;9152.96;30985.05;117487.57;0.01;1531.27;833.46;0.00;-30129.90;-119373.68;-0.02;0.00;0.00;0.00
212040296163.50;265860843.09;13265.19;0.99;1.00;138.69;5.73;101.06;7.12;135.50;938.50;99588.84;11560.56;32748.23;115301.61;0.01;1874.67;1020.38;0.00;-30629.77;-113419.24;-0.01;0.00;0.00;0.00
194621661253.81;242425483.55;14351.72;0.99;1.10;138.63;5.64;102.08;7.20;138.31;969.39;95603.92;9967.42;30482.04;103343.57;0.01;2028.13;1103.92;0.00;-28002.24;-101280.93;-0.01;0.00;0.00;0.00
207424046638.90;252127051.57;13996.24;1.00;0.99;136.72;5.85;101.56;6.79;138.50;932.43;102399.23;9044.84;31744.82;109914.12;0.01;1977.97;1076.62;0.00;-29646.55;-108367.13;-0.01;0.00;0.00;0.00
194354835309.37;237030597.18;13667.21;0.99;1.03;141.47;5.84;107.25;7.22;142.27;937.15;103661.32;10020.85;30656.42;106818.04;0.01;1931.52;1051.31;0.00;-28421.40;-104862.24;-0.01;0.00;0.00;0.00
198808668626.65;233106696.46;11419.68;0.95;1.03;142.68;5.87;103.92;7.06;141.31;924.14;95121.00;8570.86;29945.28;106560.87;0.01;1613.81;878.38;0.00;-26901.16;-100740.07;-0.01;0.00;0.00;0.00
203871021042.82;244967542.24;13032.99;1.04;0.93;135.89;5.77;102.40;7.01;141.55;908.88;88062.19;9312.59;31523.58;104826.39;0.01;1841.76;1002.46;0.00;-31120.21;-108237.86;-0.02;0.00;0.00;0.00
198605275747.73;242463831.14;12607.92;0.96;1.11;139.18;5.78;106.60;6.94;137.84;900.91;102490.37;10157.83;30382.13;106462.01;0.01;1781.72;969.77;0.00;-27065.98;-100671.29;-0.01;0.00;0.00;0.00
208082781480.65;251976430.76;13789.67;1.06;0.91;140.42;5.89;98.70;6.72;140.40;929.35;98823.25;9973.53;32160.34;113742.83;0.01;1948.71;1060.69;0.00;-32223.31;-119273.80;-0.02;0.00;0.00;0.00
209102008140.56;271904256.54;12005.10;1.01;1.11;137.26;5.97;101.88;6.86;142.78;933.30;96136.33;9714.37;35292.60;121476.43;0.01;1696.60;923.46;0.00;-33701.05;-121475.48;-0.02;0.00;0.00;0.00
193475550238.92;244758609.79;11805.32;1.00;1.02;139.09;5.82;102.79;7.22;140.69;963.32;115413.42;11213.79;31303.85;108159.59;0.01;1668.34;908.08;0.00;-29540.28;-107013.09;-0.01;0.00;0.00;0.00
