# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
222162054340.78;261937576.80;19910.36;1.03;1.02;138.12;5.83;99.33;6.93;151.61;1000.20;37034.44;117975.55;0.02;22128.71;20210.82;0.00;-14905.73;-97764.74;-0.02;0.00;0.00;0.00
214949261355.78;264242105.53;22373.14;1.01;1.02;135.67;6.36;104.89;7.77;131.47;1000.67;31856.04;125486.96;0.02;25023.69;22854.89;0.00;-6832.35;-102632.07;-0.02;0.00;0.00;0.00
204174275522.31;246984155.17;22405.20;0.99;1.01;139.18;5.70;102.82;6.58;136.25;926.53;30291.33;105740.77;0.01;24795.37;22646.35;0.00;-5495.96;-83094.42;-0.01;0.00;0.00;0.00
194338629714.27;242594262.25;17872.62;1.01;1.01;135.69;6.03;110.91;6.75;139.78;936.05;31263.31;109726.28;0.02;19749.72;18038.01;0.00;-11513.60;-91688.28;-0.02;0.00;0.00;0.00
209664403618.63;238993894.52;20909.79;0.95;1.02;142.59;5.98;108.05;6.97;140.82;979.41;29023.36;105516.26;0.01;23388.79;21361.69;0.00;-5634.57;-84154.58;-0.01;0.00;0.00;0.00
206510044007.26;262036968.36;21688.50;0.98;1.01;130.61;5.16;105.82;7.75;132.20;881.70;30748.90;93980.77;0.01;23944.71;21869.42;0.00;-6804.20;-72111.35;-0.01;0.00;0.00;0.00
213134730777.29;254103616.81;16343.27;1.01;1.00;147.13;5.77;108.63;7.51;134.43;957.49;31416.15;118973.04;0.02;17845.16;16298.52;0.00;-13571.00;-102674.52;-0.02;0.00;0.00;0.00
202425771922.40;262085286.61;19473.51;1.03;1.05;133.55;6.00;105.52;7.42;135.04;889.52;33025.66;117651.85;0.02;22469.43;20522.01;0.00;-10556.22;-97129.85;-0.02;0.00;0.00;0.00
208750394225.23;238886838.84;16748.60;1.02;0.95;139.62;5.58;101.60;7.03;142.24;985.74;31533.25;103626.60;0.02;17380.44;15874.08;0.00;-14152.81;-87752.52;-0.02;0.00;0.00;0.00
167200409207.12;258970525.76;19262.67;0.99;1.01;131.88;6.19;112.20;7.10;135.77;915.96;31706.86;114368.51;0.01;21197.87;19360.65;0.00;-10508.99;-95007.87;-0.01;0.00;0.00;0.00
204462413884.87;240365196.41;20009.13;1.03;0.97;139.74;5.68;104.47;6.49;140.63;1011.13;31603.10;107069.65;0.02;21202.67;19365.04;0.00;-10400.43;-87704.62;-0.02;0.00;0.00;0.00
192143697126.37;258522808.10;20874.53;0.98;1.01;132.85;6.17;105.57;6.87;149.24;977.37;34331.54;113140.79;0.01;23058.03;21059.59;0.00;-11273.51;-92081.20;-0.01;0.00;0.00;0.00
191870790523.16;243120985.48;20112.21;0.96;1.00;123.31;6.36;98.32;7.13;140.88;953.34;29845.06;99749.49;0.01;22038.45;20128.38;0.00;-7806.61;-79621.11;-0.01;0.00;0.00;0.00
200699551419.50;247587594.30;22183.29;1.00;0.98;145.79;6.11;96.67;7.02;142.60;948.91;32061.15;120163.03;0.01;23857.55;21789.81;0.00;-8203.60;-98373.22;-0.01;0.00;0.00;0.00
195186506171.79;270649171.65;20600.69;0.97;1.04;134.24;5.51;100.89;6.38;149.70;952.98;35742.55;106004.52;0.01;23466.51;21432.67;0.00;-12276.04;-84571.85;-0.01;0.00;0.00;0.00
214231314388.83;254319512.78;19640.00;0.97;0.93;143.89;6.17;99.31;6.44;143.00;847.35;32059.73;119503.41;0.01;20021.59;18286.32;0.00;-12038.14;-101217.08;-0.01;0.00;0.00;0.00
209392550196.88;243234155.10;17489.36;0.94;1.02;142.71;5.81;92.88;7.45;152.21;932.49;31729.86;103700.49;0.01;19484.80;17796.06;0.00;-12245.05;-85904.44;-0.01;0.00;0.00;0.00
209546330495.98;219879852.40;20006.29;1.00;1.00;150.99;5.89;88.97;6.97;147.66;972.64;29587.66;106841.00;0.02;21996.70;20090.25;0.00;-7590.96;-86750.76;-0.02;0.00;0.00;0.00
181892997040.49;250355730.73;21306.61;1.02;0.99;131.53;5.64;102.66;7.38;125.54;927.61;29102.76;103121.40;0.02;22997.21;21004.04;0.00;-6105.55;-82117.36;-0.02;0.00;0.00;0.00
203416671908.85;239568413.04;21916.64;1.03;1.06;134.37;5.65;104.62;7.01;139.52;1067.15;31181.74;101810.60;0.02;25345.17;23148.50;0.00;-5836.57;-78662.10;-0.02;0.00;0.00;0.00
