# X_0;X_1;X_2;R_0;R_1;S_0;S_1;G_0;G_1;I_0;I_1
445;889;2;2;3;2;2;0;0;0;0
468;1057;3;3;3;2;2;0;-1;0;0
346;1264;2;2;3;1;2;0;-1;0;0
333;829;3;3;4;1;1;-2;-2;0;0
416;1103;2;2;3;2;2;0;-1;0;0
329;1119;2;2;3;1;1;-1;-1;0;0
480;1130;3;3;3;2;2;-1;-1;0;0
358;1070;2;2;3;1;1;-1;-1;0;0
479;1065;3;3;3;2;2;-1;-1;0;0
691;1112;3;3;3;3;3;0;0;1;0
330;945;3;3;3;1;1;-1;-1;0;0
602;1003;3;3;3;2;2;0;-1;0;0
451;1213;2;2;3;2;2;0;0;0;0
654;896;2;2;3;2;3;0;0;0;0
333;1027;3;3;3;1;1;-1;-1;0;0
451;956;3;3;3;2;2;0;-1;0;0
315;958;2;2;3;1;1;-1;-1;0;0
521;966;2;2;2;2;2;0;0;0;0
420;967;2;2;3;2;2;0;0;0;0
478;931;3;3;3;2;2;-1;-1;0;0
565;841;3;3;3;2;2;0;0;0;0
564;984;3;3;3;2;2;0;0;0;0
318;1133;3;3;3;1;1;-1;-1;0;0
283;855;2;2;3;1;1;-1;-1;0;0
504;868;3;3;3;2;2;0;0;0;0
389;961;3;3;3;1;2;-1;-1;0;0
487;988;3;3;3;2;2;-1;-1;0;0
343;1045;2;2;2;1;1;0;0;0;0
689;1079;2;2;3;3;3;0;0;1;1
446;877;3;3;3;2;2;-1;-1;0;0
572;947;3;3;3;2;2;0;0;0;0
669;1065;2;2;3;3;3;0;0;1;0
296;1121;2;2;3;1;1;-1;-1;0;0
537;1023;3;3;3;2;2;0;0;0;0
768;822;2;2;2;3;3;0;0;1;1
515;935;3;3;3;2;2;0;0;0;0
360;1024;2;2;2;1;1;0;-1;0;0
484;996;2;2;3;2;2;0;0;0;0
537;938;2;2;3;2;2;0;0;0;0
511;1001;3;3;3;2;2;0;0;0;0
478;1142;3;3;3;2;2;-1;-1;0;0
553;981;2;2;3;2;2;0;0;0;0
509;882;2;2;3;2;2;0;0;0;0
511;960;3;3;3;2;2;0;0;0;0
540;915;3;3;3;2;2;0;0;0;0
457;960;2;2;2;2;2;0;0;0;0
524;1032;2;2;3;2;2;0;0;0;0
475;1236;3;3;3;2;2;0;0;0;0
598;1083;2;2;3;2;2;0;0;0;0
371;900;2;2;2;1;1;0;0;0;0
455;839;2;2;2;2;2;0;0;0;0
606;996;3;3;3;2;2;0;0;0;0
467;976;3;3;3;2;2;0;-1;0;0
667;763;2;2;2;2;3;0;0;1;1
479;1070;2;2;3;2;2;0;0;0;0
682;1044;2;2;3;3;3;0;0;1;0
381;1097;2;2;3;1;2;0;-1;0;0
407;989;3;3;3;1;2;-1;-1;0;0
579;995;2;2;3;2;2;0;0;0;0
394;1017;2;2;2;1;2;0;0;0;0
652;1027;2;2;3;2;3;0;0;1;0
584;1082;3;3;3;2;2;0;0;0;0
502;907;2;2;3;2;2;0;0;0;0
582;1094;3;3;3;2;2;0;0;0;0
477;986;3;3;3;2;2;0;-1;0;0
546;1075;2;2;2;2;2;0;0;1;1
584;940;3;3;3;2;2;0;0;0;0
533;977;3;3;3;2;2;0;0;0;0
459;1106;2;2;3;2;2;0;0;0;0
473;1095;3;3;3;2;2;-1;-1;0;0
520;957;3;3;3;2;2;0;0;0;0
607;989;3;3;3;2;2;0;0;0;0
448;784;2;2;3;2;2;0;0;0;0
585;1100;3;3;3;2;2;0;0;0;0
553;941;3;3;3;2;2;0;0;0;0
540;953;3;3;3;2;2;0;0;0;0
443;1020;3;3;3;2;2;-1;-1;0;0
627;917;2;2;3;2;2;0;0;0;0
722;920;3;3;3;3;3;0;0;0;0
414;1044;2;2;3;2;2;0;0;0;0
396;941;2;2;3;1;2;-1;-1;0;0
534;929;3;3;3;2;2;0;0;0;0
565;1049;3;3;4;2;2;-1;-1;0;0
353;875;3;3;3;1;1;-1;-1;0;0
472;1136;2;2;3;2;2;0;0;0;0
395;887;2;2;3;1;1;0;-1;0;0
492;935;2;2;2;2;2;0;0;0;0
518;907;3;3;3;2;2;0;0;0;0
485;1028;3;3;3;2;2;0;0;0;0
532;1112;2;2;3;2;2;0;0;0;0
482;1082;3;3;3;2;2;0;-1;0;0
270;1104;2;2;3;1;1;-1;-1;0;0
380;947;2;2;2;1;1;0;0;0;0
698;1051;2;2;3;3;3;0;0;1;0
286;1084;3;3;3;1;1;-1;-1;0;0
499;1036;2;2;2;2;2;0;0;0;0
454;997;3;3;3;2;2;-1;-1;0;0
421;962;3;3;3;2;2;-1;-1;0;0
482;836;3;3;3;2;2;-1;-1;0;0
509;1152;2;2;3;2;2;0;0;0;0
591;1146;3;3;3;2;2;0;0;0;0
441;879;2;2;3;2;2;0;-1;0;0
512;973;2;2;3;2;2;0;0;0;0
293;991;3;3;3;1;1;-1;-1;0;0
406;1058;3;3;3;2;2;-1;-1;0;0
556;993;3;3;3;2;2;0;0;0;0
436;1041;2;2;2;2;2;0;0;0;0
515;902;2;2;2;2;2;0;0;0;0
453;933;2;2;3;2;2;0;0;0;0
584;1144;2;2;3;2;2;0;0;0;0
426;1167;3;3;3;2;2;-1;-1;0;0
432;949;2;2;3;2;2;0;0;0;0
606;958;3;3;3;2;2;0;0;0;0
554;1054;3;3;3;2;2;0;-1;0;0
489;897;2;2;3;2;2;0;0;0;0
524;719;3;3;3;2;2;-1;-1;0;0
512;740;3;3;3;2;2;0;0;0;0
342;1108;2;2;2;1;1;0;0;0;0
540;985;2;2;3;2;2;0;0;0;0
315;906;2;2;3;1;1;-1;-1;0;0
514;1040;2;2;3;2;2;0;0;0;0
497;950;2;2;3;2;2;0;0;0;0
423;1063;3;3;3;2;2;-1;-1;0;0
594;928;3;3;3;2;2;0;0;0;0
508;1010;2;2;3;2;2;0;0;0;0
411;919;3;3;3;1;2;-1;-1;0;0
473;948;3;3;3;2;2;-1;-1;0;0
582;940;2;2;2;2;2;0;0;1;0
373;1003;3;3;3;1;1;-1;-1;0;0
530;891;3;3;3;2;2;0;-1;0;0
465;991;2;2;3;2;2;0;0;0;0
642;863;3;3;3;2;2;0;0;0;0
341;1026;2;2;2;1;1;0;-1;0;0
371;922;2;2;3;1;1;-1;-1;0;0
443;916;2;2;2;2;2;0;0;0;0
716;976;3;3;3;3;3;0;0;1;0
564;926;3;3;3;2;2;0;0;0;0
410;944;2;2;2;1;2;0;0;0;0
320;1031;3;3;3;1;1;-1;-1;0;0
432;1174;3;3;3;2;2;-1;-1;0;0
543;1089;3;3;3;2;2;-1;-1;0;0
359;930;2;2;2;1;1;0;0;0;0
622;1010;2;2;3;2;2;0;0;0;0
417;1044;3;3;3;2;2;-1;-1;0;0
560;1177;2;2;2;2;2;0;0;1;0
586;1245;2;2;3;2;2;0;0;0;0
389;1065;2;2;3;1;2;0;-1;0;0
516;986;2;2;2;2;2;0;0;0;0
554;974;3;3;4;2;2;-1;-1;0;0
530;839;2;2;2;2;2;0;0;0;0
523;1144;3;3;3;2;2;0;0;0;0
653;1159;3;3;3;2;3;0;0;0;0
703;962;2;2;3;3;3;0;0;1;1
584;1152;3;3;3;2;2;0;0;0;0
655;1050;2;2;2;2;3;0;0;1;1
324;904;3;3;3;1;1;-1;-1;0;0
469;1040;2;2;3;2;2;0;0;0;0
619;1063;2;2;2;2;2;0;0;1;1
526;1021;2;2;2;2;2;0;0;0;0
443;897;2;2;2;2;2;0;0;0;0
720;758;3;3;3;3;3;0;0;1;0
477;1064;3;3;4;2;2;-1;-1;0;0
478;939;3;3;3;2;2;0;-1;0;0
613;953;3;3;3;2;2;0;0;0;0
438;895;2;2;3;2;2;0;0;0;0
362;871;3;3;3;1;1;-1;-1;0;0
548;908;2;2;2;2;2;0;0;1;1
682;858;2;2;2;2;3;0;0;1;1
525;871;3;3;3;2;2;0;0;0;0
522;954;2;2;2;2;2;0;0;0;0
380;964;2;2;2;1;1;0;0;0;0
608;1041;2;2;2;2;2;0;0;1;1
534;1089;2;2;2;2;2;0;0;0;0
589;1018;3;3;3;2;2;0;0;0;0
512;959;3;3;3;2;2;-1;-1;0;0
487;1035;2;2;3;2;2;0;0;0;0
349;1001;3;3;3;1;1;-1;-1;0;0
485;971;3;3;3;2;2;0;-1;0;0
603;938;2;2;3;2;2;0;0;0;0
238;1158;3;3;3;1;1;-1;-1;0;0
421;954;3;3;3;2;2;-1;-1;0;0
368;1008;3;3;3;1;1;-1;-1;0;0
513;1103;3;3;3;2;2;0;-1;0;0
440;1025;2;2;2;2;2;0;0;0;0
607;1065;3;3;3;2;2;0;0;0;0
365;890;3;3;3;1;1;-1;-1;0;0
542;912;2;2;2;2;2;0;0;0;0
496;1031;2;2;3;2;2;0;0;0;0
547;1050;2;2;3;2;2;0;0;0;0
548;894;2;2;2;2;2;0;0;0;0
481;1109;3;3;3;2;2;0;-1;0;0
494;930;2;2;3;2;2;0;0;0;0
301;904;2;2;3;1;1;-1;-1;0;0
527;1160;2;2;3;2;2;0;0;0;0
654;937;2;2;3;2;3;0;0;1;1
429;1058;2;2;3;2;2;0;0;0;0
513;1054;3;3;3;2;2;0;0;0;0
527;934;2;2;2;2;2;0;0;0;0
478;1028;3;3;3;2;2;0;-1;0;0
454;959;3;3;3;2;2;-1;-1;0;0
547;1030;2;2;3;2;2;0;0;0;0
546;1127;2;2;3;2;2;0;0;0;0
449;1192;3;3;3;2;2;-1;-1;0;0
440;1039;3;3;3;2;2;-1;-1;0;0
443;1082;2;2;3;2;2;0;0;0;0
521;1079;2;2;3;2;2;0;0;0;0
542;907;3;3;3;2;2;0;-1;0;0
684;1014;3;3;4;3;3;0;0;0;0
445;941;2;2;3;2;2;0;0;0;0
593;1037;2;2;2;2;2;0;0;1;1
665;882;2;2;3;2;3;0;0;1;1
480;1001;2;2;3;2;2;0;0;0;0
529;1030;2;2;2;2;2;0;0;0;0
486;885;2;2;2;2;2;0;0;0;0
472;836;2;2;3;2;2;0;0;0;0
560;1005;3;3;3;2;2;0;0;0;0
476;1126;2;2;3;2;2;0;0;0;0
